NAMESPACE     LAST SEEN   TYPE      REASON              OBJECT                                                   MESSAGE
kube-system   57m         Warning   Unhealthy           pod/hubble-relay-7cf68b958c-2lhv6                        Startup probe failed: service unhealthy (responded with "NOT_SERVING")
kube-system   12m         Normal    Killing             pod/hubble-relay-7cf68b958c-2lhv6                        Container hubble-relay failed startup probe, will be restarted
kube-system   6m20s       Normal    Pulled              pod/hubble-relay-7cf68b958c-2lhv6                        Container image "quay.io/cilium/hubble-relay:v1.18.7@sha256:9bb9b2b1a4f4bef12a77738756cfbf970daa701e536e42f0a9c64a621bc7c9d5" already present on machine
kube-system   2m31s       Warning   BackOff             pod/hubble-relay-7cf68b958c-2lhv6                        Back-off restarting failed container hubble-relay in pod hubble-relay-7cf68b958c-2lhv6_kube-system(f15fac60-33cb-49e9-ab49-ccc9114cbbc0)
kube-system   53m         Normal    Created             pod/cilium-operator-594bf6455-tqz7k                      Created container: cilium-operator
kube-system   53m         Normal    Pulled              pod/cilium-operator-594bf6455-tqz7k                      Container image "quay.io/cilium/operator-aws:v1.18.7" already present on machine
kube-system   50m         Warning   BackOff             pod/cilium-operator-594bf6455-tqz7k                      Back-off restarting failed container cilium-operator in pod cilium-operator-594bf6455-tqz7k_kube-system(e2e936b7-9353-4e8e-9a24-469ceab78b28)
kube-system   53m         Normal    Created             pod/cilium-operator-594bf6455-jtthb                      Created container: cilium-operator
kube-system   53m         Normal    Pulled              pod/cilium-operator-594bf6455-jtthb                      Container image "quay.io/cilium/operator-aws:v1.18.7" already present on machine
kube-system   50m         Warning   BackOff             pod/cilium-operator-594bf6455-jtthb                      Back-off restarting failed container cilium-operator in pod cilium-operator-594bf6455-jtthb_kube-system(47ac00d6-aa95-4559-8d6b-36aceace24ca)
kube-system   46m         Normal    Pulled              pod/cilium-tdx52                                         Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
kube-system   54m         Normal    Created             pod/cilium-tdx52                                         Created container: cilium-agent
kube-system   45m         Normal    Pulled              pod/cilium-l7srh                                         Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
kube-system   45m         Normal    Created             pod/cilium-l7srh                                         Created container: cilium-agent
kube-system   60m         Warning   Unhealthy           pod/cilium-tdx52                                         Startup probe failed: Get "http://127.0.0.1:9879/healthz": dial tcp 127.0.0.1:9879: connect: connection refused
kube-system   45m         Warning   Unhealthy           pod/cilium-l7srh                                         Startup probe failed: Get "http://127.0.0.1:9879/healthz": dial tcp 127.0.0.1:9879: connect: connection refused
kube-system   50m         Warning   BackOff             pod/cilium-tdx52                                         Back-off restarting failed container cilium-agent in pod cilium-tdx52_kube-system(2da2a333-67f7-417e-8b06-45386148621b)
kube-system   50m         Warning   BackOff             pod/cilium-l7srh                                         Back-off restarting failed container cilium-agent in pod cilium-l7srh_kube-system(c3a7d965-2f9a-4755-99b3-2fb95f734d6a)
kube-system   49m         Normal    ScalingReplicaSet   deployment/cilium-operator                               Scaled up replica set cilium-operator-66b6d68465 from 0 to 2
kube-system   49m         Normal    SuccessfulCreate    replicaset/cilium-operator-66b6d68465                    Created pod: cilium-operator-66b6d68465-9h7p6
kube-system   49m         Normal    SuccessfulDelete    replicaset/cilium-operator-594bf6455                     Deleted pod: cilium-operator-594bf6455-jtthb
kube-system   49m         Normal    SuccessfulDelete    replicaset/cilium-operator-594bf6455                     Deleted pod: cilium-operator-594bf6455-tqz7k
kube-system   48m         Normal    Scheduled           pod/cilium-operator-66b6d68465-2hdcw                     Successfully assigned kube-system/cilium-operator-66b6d68465-2hdcw to ip-10-0-10-39.ap-southeast-1.compute.internal
