NAMESPACE     LAST SEEN   TYPE      REASON                 OBJECT                                                         MESSAGE
monitoring    50m         Normal    Killing                pod/prometheus-kube-state-metrics-7cdf9894f9-qdt29             Stopping container kube-state-metrics
monitoring    50m         Normal    Killing                pod/prometheus-grafana-5875d7786f-w66qd                        Stopping container grafana-sc-dashboard
monitoring    50m         Normal    Killing                pod/prometheus-grafana-5875d7786f-w66qd                        Stopping container grafana-sc-datasources
monitoring    49m         Normal    Scheduled              pod/prometheus-kube-prometheus-admission-create-sgjqb          Successfully assigned monitoring/prometheus-kube-prometheus-admission-create-sgjqb to ip-10-0-10-39.ap-southeast-1.compute.internal
monitoring    49m         Normal    Pulling                pod/prometheus-kube-prometheus-admission-create-sgjqb          Pulling image "ghcr.io/jkroepke/kube-webhook-certgen:1.8.0"
monitoring    49m         Normal    SuccessfulCreate       job/prometheus-kube-prometheus-admission-create                Created pod: prometheus-kube-prometheus-admission-create-sgjqb
monitoring    40m         Normal    Created                pod/prometheus-kube-prometheus-admission-create-sgjqb          Created container: create
monitoring    49m         Normal    Pulled                 pod/prometheus-kube-prometheus-admission-create-sgjqb          Successfully pulled image "ghcr.io/jkroepke/kube-webhook-certgen:1.8.0" in 16.064s (16.064s including waiting). Image size: 12943403 bytes.
monitoring    40m         Normal    Started                pod/prometheus-kube-prometheus-admission-create-sgjqb          Started container create
monitoring    40m         Normal    Pulled                 pod/prometheus-kube-prometheus-admission-create-sgjqb          Container image "ghcr.io/jkroepke/kube-webhook-certgen:1.8.0" already present on machine
monitoring    41m         Warning   BackOff                pod/prometheus-kube-prometheus-admission-create-sgjqb          Back-off restarting failed container create in pod prometheus-kube-prometheus-admission-create-sgjqb_monitoring(7ac5e7a4-0bb4-4bb7-8839-1715b0a917fc)
monitoring    40m         Normal    SuccessfulDelete       job/prometheus-kube-prometheus-admission-create                Deleted pod: prometheus-kube-prometheus-admission-create-sgjqb
monitoring    40m         Normal    Killing                pod/prometheus-kube-prometheus-admission-create-sgjqb          Stopping container create
monitoring    40m         Warning   BackoffLimitExceeded   job/prometheus-kube-prometheus-admission-create                Job has reached the specified backoff limit
kube-system   25m         Normal    Killing                pod/cilium-l7srh                                               Stopping container cilium-agent
kube-system   25m         Normal    Started                pod/cilium-rj89b                                               Started container config
kube-system   25m         Normal    Killing                pod/cilium-tdx52                                               Stopping container cilium-agent
kube-system   25m         Normal    SuccessfulCreate       daemonset/cilium                                               Created pod: cilium-rj89b
kube-system   25m         Normal    Pulled                 pod/cilium-rj89b                                               Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
kube-system   25m         Normal    Created                pod/cilium-rj89b                                               Created container: config
kube-system   25m         Normal    Scheduled              pod/cilium-rj89b                                               Successfully assigned kube-system/cilium-rj89b to ip-10-0-10-39.ap-southeast-1.compute.internal
kube-system   25m         Normal    Started                pod/cilium-8l95t                                               Started container config
