NAMESPACE     LAST SEEN   TYPE      REASON              OBJECT                                                                  MESSAGE
kube-system   13m         Normal    Killing             pod/hubble-relay-7cf68b958c-2lhv6                                       Container hubble-relay failed startup probe, will be restarted
kube-system   6m36s       Normal    Pulled              pod/hubble-relay-7cf68b958c-2lhv6                                       Container image "quay.io/cilium/hubble-relay:v1.18.7@sha256:9bb9b2b1a4f4bef12a77738756cfbf970daa701e536e42f0a9c64a621bc7c9d5" already present on machine
kube-system   2m50s       Warning   BackOff             pod/hubble-relay-7cf68b958c-2lhv6                                       Back-off restarting failed container hubble-relay in pod hubble-relay-7cf68b958c-2lhv6_kube-system(f15fac60-33cb-49e9-ab49-ccc9114cbbc0)
kube-system   75s         Warning   Unhealthy           pod/hubble-ui-576dcd986f-9bpbs                                          Readiness probe failed: Get "http://10.96.1.230:8081/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system   46s         Normal    Killing             pod/hubble-ui-576dcd986f-9bpbs                                          Container frontend failed liveness probe, will be restarted
kube-system   77s         Normal    Pulled              pod/hubble-ui-576dcd986f-9bpbs                                          Container image "quay.io/cilium/hubble-ui:v0.13.3@sha256:661d5de7050182d495c6497ff0b007a7a1e379648e60830dd68c4d78ae21761d" already present on machine
kube-system   12m         Warning   Unhealthy           pod/hubble-relay-7cf68b958c-2lhv6                                       Startup probe failed: timeout: failed to connect service "10.96.1.123:4222" within 1s: context deadline exceeded
kube-system   6m11s       Warning   BackOff             pod/hubble-ui-576dcd986f-9bpbs                                          Back-off restarting failed container frontend in pod hubble-ui-576dcd986f-9bpbs_kube-system(b19ca7ec-22a0-454e-b4b6-8511b883cd32)
monitoring    26m         Warning   Unhealthy           pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z                      Liveness probe failed: Get "http://10.0.10.247:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    27m         Normal    Pulled              pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z                      Container image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0" already present on machine
monitoring    31m         Warning   BackOff             pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z                      Back-off restarting failed container kube-state-metrics in pod prometheus-kube-state-metrics-7cdf9894f9-pz47z_monitoring(8aef6b18-48f3-480b-a3f5-f4c8fa38716b)
monitoring    26m         Normal    Killing             pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z                      Container kube-state-metrics failed liveness probe, will be restarted
monitoring    57m         Normal    Created             pod/prometheus-kube-prometheus-operator-5bd97f6986-vf27j                Created container: kube-prometheus-stack
monitoring    57m         Normal    Pulled              pod/prometheus-kube-prometheus-operator-5bd97f6986-vf27j                Container image "quay.io/prometheus-operator/prometheus-operator:v0.74.0" already present on machine
monitoring    57m         Normal    Started             pod/prometheus-kube-prometheus-operator-5bd97f6986-vf27j                Started container kube-prometheus-stack
monitoring    32m         Normal    Pulled              pod/prometheus-prometheus-kube-prometheus-prometheus-0                  Container image "quay.io/prometheus/prometheus:v2.52.0" already present on machine
monitoring    32m         Normal    Created             pod/prometheus-prometheus-kube-prometheus-prometheus-0                  Created container: prometheus
monitoring    32m         Normal    Started             pod/prometheus-prometheus-kube-prometheus-prometheus-0                  Started container prometheus
monitoring    32m         Normal    Created             pod/prometheus-grafana-5875d7786f-xtnj7                                 Created container: grafana
monitoring    32m         Normal    Started             pod/prometheus-grafana-5875d7786f-xtnj7                                 Started container grafana
monitoring    22m         Warning   Unhealthy           pod/prometheus-grafana-5875d7786f-xtnj7                                 Readiness probe failed: Get "http://10.0.10.122:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    22m         Warning   Unhealthy           pod/prometheus-prometheus-kube-prometheus-prometheus-0                  Startup probe failed: Get "http://10.0.10.57:9090/-/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    55m         Warning   BackOff             pod/prometheus-kube-prometheus-operator-5bd97f6986-vf27j                Back-off restarting failed container kube-prometheus-stack in pod prometheus-kube-prometheus-operator-5bd97f6986-vf27j_monitoring(18646a26-3244-4d24-a14d-9baa3f7c0190)
monitoring    47m         Warning   Unhealthy           pod/prometheus-grafana-5875d7786f-xtnj7                                 Liveness probe failed: Get "http://10.0.10.122:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    32m         Normal    Pulled              pod/prometheus-grafana-5875d7786f-xtnj7                                 Container image "docker.io/grafana/grafana:11.0.0" already present on machine
