NAMESPACE     LAST SEEN   TYPE      REASON             OBJECT                                                         MESSAGE
monitoring    41m         Warning   Unhealthy          pod/prometheus-grafana-5875d7786f-kjddx                        Readiness probe failed: Get "http://10.96.0.233:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    44m         Normal    Pulled             pod/prometheus-kube-state-metrics-7cdf9894f9-67vrk             Container image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0" already present on machine
monitoring    46m         Normal    Created            pod/prometheus-prometheus-kube-prometheus-prometheus-0         Created container: prometheus
monitoring    46m         Normal    Pulled             pod/prometheus-prometheus-kube-prometheus-prometheus-0         Container image "quay.io/prometheus/prometheus:v2.52.0" already present on machine
monitoring    46m         Normal    Started            pod/prometheus-prometheus-kube-prometheus-prometheus-0         Started container prometheus
monitoring    41m         Warning   BackOff            pod/prometheus-kube-state-metrics-7cdf9894f9-67vrk             Back-off restarting failed container kube-state-metrics in pod prometheus-kube-state-metrics-7cdf9894f9-67vrk_monitoring(560eb59b-70e5-4db3-a52a-88c05040accc)
monitoring    41m         Warning   Unhealthy          pod/prometheus-prometheus-kube-prometheus-prometheus-0         Startup probe failed: Get "http://10.96.0.230:9090/-/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    44m         Normal    Created            pod/prometheus-grafana-5875d7786f-kjddx                        Created container: grafana
monitoring    44m         Normal    Pulled             pod/prometheus-grafana-5875d7786f-kjddx                        Container image "docker.io/grafana/grafana:11.0.0" already present on machine
monitoring    44m         Normal    Killing            pod/prometheus-grafana-5875d7786f-kjddx                        Container grafana failed liveness probe, will be restarted
monitoring    44m         Normal    Started            pod/prometheus-grafana-5875d7786f-kjddx                        Started container grafana
monitoring    46m         Normal    Killing            pod/prometheus-prometheus-kube-prometheus-prometheus-0         Container prometheus failed startup probe, will be restarted
kube-system   50m         Normal    Scheduled          pod/hubble-relay-6585548757-wqtjh                              Successfully assigned kube-system/hubble-relay-6585548757-wqtjh to ip-10-0-10-244.ap-southeast-1.compute.internal
kube-system   50m         Normal    Killing            pod/hubble-relay-6585548757-2l2w7                              Stopping container hubble-relay
kube-system   50m         Normal    SuccessfulCreate   replicaset/hubble-relay-6585548757                             Created pod: hubble-relay-6585548757-wqtjh
kube-system   50m         Normal    Started            pod/hubble-relay-6585548757-wqtjh                              Started container hubble-relay
kube-system   50m         Normal    Created            pod/hubble-relay-6585548757-wqtjh                              Created container: hubble-relay
kube-system   50m         Normal    Pulled             pod/hubble-relay-6585548757-wqtjh                              Container image "quay.io/cilium/hubble-relay:v1.18.7@sha256:9bb9b2b1a4f4bef12a77738756cfbf970daa701e536e42f0a9c64a621bc7c9d5" already present on machine
kube-system   50m         Normal    Pulling            pod/hubble-ui-f84887bbf-cr799                                  Pulling image "quay.io/cilium/hubble-ui:v0.13.3@sha256:661d5de7050182d495c6497ff0b007a7a1e379648e60830dd68c4d78ae21761d"
kube-system   50m         Normal    Scheduled          pod/hubble-ui-f84887bbf-cr799                                  Successfully assigned kube-system/hubble-ui-f84887bbf-cr799 to ip-10-0-10-244.ap-southeast-1.compute.internal
kube-system   50m         Normal    Killing            pod/hubble-ui-f84887bbf-6kst6                                  Stopping container backend
kube-system   50m         Normal    Killing            pod/hubble-ui-f84887bbf-6kst6                                  Stopping container frontend
kube-system   50m         Normal    SuccessfulCreate   replicaset/hubble-ui-f84887bbf                                 Created pod: hubble-ui-f84887bbf-cr799
kube-system   50m         Normal    Pulled             pod/hubble-ui-f84887bbf-cr799                                  Successfully pulled image "quay.io/cilium/hubble-ui:v0.13.3@sha256:661d5de7050182d495c6497ff0b007a7a1e379648e60830dd68c4d78ae21761d" in 4.118s (4.118s including waiting). Image size: 11460612 bytes.
kube-system   50m         Normal    Created            pod/hubble-ui-f84887bbf-cr799                                  Created container: frontend
kube-system   50m         Normal    Started            pod/hubble-ui-f84887bbf-cr799                                  Started container frontend
kube-system   50m         Normal    Pulling            pod/hubble-ui-f84887bbf-cr799                                  Pulling image "quay.io/cilium/hubble-ui-backend:v0.13.3@sha256:db1454e45dc39ca41fbf7cad31eec95d99e5b9949c39daaad0fa81ef29d56953"
kube-system   50m         Normal    Pulled             pod/hubble-ui-f84887bbf-cr799                                  Successfully pulled image "quay.io/cilium/hubble-ui-backend:v0.13.3@sha256:db1454e45dc39ca41fbf7cad31eec95d99e5b9949c39daaad0fa81ef29d56953" in 4.44s (4.44s including waiting). Image size: 20665515 bytes.
kube-system   50m         Normal    Created            pod/hubble-ui-f84887bbf-cr799                                  Created container: backend
kube-system   50m         Normal    Started            pod/hubble-ui-f84887bbf-cr799                                  Started container backend
