NAMESPACE     LAST SEEN   TYPE      REASON             OBJECT                                                   MESSAGE
benchmark     45m         Normal    Killing            pod/echo-6b966c8588-klgn7                                Stopping container echo
benchmark     45m         Normal    Scheduled          pod/echo-6b966c8588-kq9vt                                Successfully assigned benchmark/echo-6b966c8588-kq9vt to ip-10-0-10-178.ap-southeast-1.compute.internal
benchmark     45m         Normal    SuccessfulCreate   replicaset/echo-6b966c8588                               Created pod: echo-6b966c8588-kq9vt
benchmark     45m         Normal    Scheduled          pod/fortio-86dcc7d967-7sprp                              Successfully assigned benchmark/fortio-86dcc7d967-7sprp to ip-10-0-10-178.ap-southeast-1.compute.internal
benchmark     45m         Normal    Pulling            pod/fortio-86dcc7d967-7sprp                              Pulling image "fortio/fortio:1.74.0"
benchmark     45m         Normal    Pulling            pod/echo-6b966c8588-kq9vt                                Pulling image "hashicorp/http-echo:1.0"
benchmark     45m         Normal    Pulled             pod/fortio-86dcc7d967-7sprp                              Successfully pulled image "fortio/fortio:1.74.0" in 5.289s (5.289s including waiting). Image size: 7520463 bytes.
benchmark     45m         Normal    Started            pod/echo-6b966c8588-kq9vt                                Started container echo
benchmark     45m         Normal    Started            pod/fortio-86dcc7d967-7sprp                              Started container fortio
benchmark     45m         Normal    Created            pod/fortio-86dcc7d967-7sprp                              Created container: fortio
benchmark     45m         Normal    Pulled             pod/echo-6b966c8588-kq9vt                                Successfully pulled image "hashicorp/http-echo:1.0" in 5.158s (5.158s including waiting). Image size: 4631705 bytes.
benchmark     45m         Normal    Created            pod/echo-6b966c8588-kq9vt                                Created container: echo
monitoring    14m         Normal    Pulling            pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z       Pulling image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0"
monitoring    14m         Normal    SuccessfulCreate   replicaset/prometheus-kube-state-metrics-7cdf9894f9      Created pod: prometheus-kube-state-metrics-7cdf9894f9-pz47z
monitoring    14m         Normal    Scheduled          pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z       Successfully assigned monitoring/prometheus-kube-state-metrics-7cdf9894f9-pz47z to ip-10-0-10-104.ap-southeast-1.compute.internal
monitoring    5m17s       Normal    Created            pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z       Created container: kube-state-metrics
monitoring    14m         Normal    Pulled             pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z       Successfully pulled image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0" in 1.866s (1.866s including waiting). Image size: 13702190 bytes.
monitoring    5m17s       Normal    Started            pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z       Started container kube-state-metrics
monitoring    11m         Warning   Unhealthy          pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z       Liveness probe failed: Get "http://10.0.10.247:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    11m         Warning   Unhealthy          pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z       Readiness probe failed: Get "http://10.0.10.247:8080/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    5m17s       Normal    Pulled             pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z       Container image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0" already present on machine
monitoring    3m44s       Warning   BackOff            pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z       Back-off restarting failed container kube-state-metrics in pod prometheus-kube-state-metrics-7cdf9894f9-pz47z_monitoring(8aef6b18-48f3-480b-a3f5-f4c8fa38716b)
monitoring    8m6s        Normal    Killing            pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z       Container kube-state-metrics failed liveness probe, will be restarted
