NAMESPACE     LAST SEEN   TYPE      REASON                 OBJECT                                                         MESSAGE
kube-system   4m5s        Normal    Killing                pod/hubble-relay-7cf68b958c-2lhv6                              Container hubble-relay failed startup probe, will be restarted
kube-system   6m25s       Normal    Pulled                 pod/hubble-relay-7cf68b958c-2lhv6                              Container image "quay.io/cilium/hubble-relay:v1.18.7@sha256:9bb9b2b1a4f4bef12a77738756cfbf970daa701e536e42f0a9c64a621bc7c9d5" already present on machine
kube-system   9m42s       Warning   BackOff                pod/hubble-relay-7cf68b958c-2lhv6                              Back-off restarting failed container hubble-relay in pod hubble-relay-7cf68b958c-2lhv6_kube-system(f15fac60-33cb-49e9-ab49-ccc9114cbbc0)
kube-system   7m59s       Warning   Unhealthy              pod/hubble-ui-576dcd986f-9bpbs                                 Readiness probe failed: Get "http://10.96.1.230:8081/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system   2m33s       Normal    Pulled                 pod/hubble-ui-576dcd986f-9bpbs                                 Container image "quay.io/cilium/hubble-ui:v0.13.3@sha256:661d5de7050182d495c6497ff0b007a7a1e379648e60830dd68c4d78ae21761d" already present on machine
kube-system   4m41s       Warning   Unhealthy              pod/hubble-relay-7cf68b958c-2lhv6                              Startup probe failed: timeout: failed to connect service "10.96.1.123:4222" within 1s: context deadline exceeded
kube-system   2m58s       Warning   BackOff                pod/hubble-ui-576dcd986f-9bpbs                                 Back-off restarting failed container frontend in pod hubble-ui-576dcd986f-9bpbs_kube-system(b19ca7ec-22a0-454e-b4b6-8511b883cd32)
kube-system   32m         Normal    Killing                pod/hubble-ui-576dcd986f-9bpbs                                 Container frontend failed liveness probe, will be restarted
monitoring    60m         Normal    Pulled                 pod/prometheus-kube-state-metrics-7cdf9894f9-qdt29             Container image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0" already present on machine
monitoring    60m         Normal    Created                pod/prometheus-kube-state-metrics-7cdf9894f9-qdt29             Created container: kube-state-metrics
monitoring    60m         Normal    Scheduled              pod/prometheus-kube-state-metrics-7cdf9894f9-qdt29             Successfully assigned monitoring/prometheus-kube-state-metrics-7cdf9894f9-qdt29 to ip-10-0-10-39.ap-southeast-1.compute.internal
monitoring    60m         Normal    Scheduled              pod/prometheus-grafana-5875d7786f-w66qd                        Successfully assigned monitoring/prometheus-grafana-5875d7786f-w66qd to ip-10-0-10-104.ap-southeast-1.compute.internal
monitoring    60m         Normal    Started                pod/prometheus-kube-state-metrics-7cdf9894f9-qdt29             Started container kube-state-metrics
monitoring    59m         Warning   Unhealthy              pod/prometheus-grafana-5875d7786f-w66qd                        Readiness probe failed: Get "http://10.0.10.60:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    59m         Warning   Unhealthy              pod/prometheus-kube-state-metrics-7cdf9894f9-qdt29             Liveness probe failed: Get "http://10.0.10.63:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    59m         Warning   Unhealthy              pod/prometheus-kube-state-metrics-7cdf9894f9-qdt29             Readiness probe failed: Get "http://10.0.10.63:8080/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    59m         Normal    Killing                pod/prometheus-grafana-5875d7786f-w66qd                        Stopping container grafana-sc-dashboard
monitoring    59m         Normal    Killing                pod/prometheus-grafana-5875d7786f-w66qd                        Stopping container grafana
monitoring    59m         Normal    Killing                pod/prometheus-grafana-5875d7786f-w66qd                        Stopping container grafana-sc-datasources
monitoring    59m         Normal    Killing                pod/prometheus-kube-state-metrics-7cdf9894f9-qdt29             Stopping container kube-state-metrics
monitoring    59m         Normal    Killing                pod/prometheus-prometheus-node-exporter-8z4q8                  Stopping container node-exporter
monitoring    59m         Normal    Killing                pod/prometheus-prometheus-node-exporter-dvwsd                  Stopping container node-exporter
monitoring    59m         Normal    Killing                pod/prometheus-prometheus-node-exporter-rrkgt                  Stopping container node-exporter
monitoring    59m         Normal    Pulling                pod/prometheus-kube-prometheus-admission-create-sgjqb          Pulling image "ghcr.io/jkroepke/kube-webhook-certgen:1.8.0"
monitoring    59m         Normal    SuccessfulCreate       job/prometheus-kube-prometheus-admission-create                Created pod: prometheus-kube-prometheus-admission-create-sgjqb
monitoring    59m         Normal    Scheduled              pod/prometheus-kube-prometheus-admission-create-sgjqb          Successfully assigned monitoring/prometheus-kube-prometheus-admission-create-sgjqb to ip-10-0-10-39.ap-southeast-1.compute.internal
monitoring    50m         Normal    Created                pod/prometheus-kube-prometheus-admission-create-sgjqb          Created container: create
monitoring    58m         Normal    Pulled                 pod/prometheus-kube-prometheus-admission-create-sgjqb          Successfully pulled image "ghcr.io/jkroepke/kube-webhook-certgen:1.8.0" in 16.064s (16.064s including waiting). Image size: 12943403 bytes.
monitoring    50m         Normal    Started                pod/prometheus-kube-prometheus-admission-create-sgjqb          Started container create
monitoring    50m         Normal    Pulled                 pod/prometheus-kube-prometheus-admission-create-sgjqb          Container image "ghcr.io/jkroepke/kube-webhook-certgen:1.8.0" already present on machine
monitoring    50m         Warning   BackOff                pod/prometheus-kube-prometheus-admission-create-sgjqb          Back-off restarting failed container create in pod prometheus-kube-prometheus-admission-create-sgjqb_monitoring(7ac5e7a4-0bb4-4bb7-8839-1715b0a917fc)
monitoring    50m         Normal    SuccessfulDelete       job/prometheus-kube-prometheus-admission-create                Deleted pod: prometheus-kube-prometheus-admission-create-sgjqb
monitoring    50m         Normal    Killing                pod/prometheus-kube-prometheus-admission-create-sgjqb          Stopping container create
monitoring    50m         Warning   BackoffLimitExceeded   job/prometheus-kube-prometheus-admission-create                Job has reached the specified backoff limit
kube-system   35m         Normal    Killing                pod/cilium-l7srh                                               Stopping container cilium-agent
kube-system   35m         Normal    Created                pod/cilium-rj89b                                               Created container: config
kube-system   35m         Normal    Started                pod/cilium-rj89b                                               Started container config
kube-system   35m         Normal    Pulled                 pod/cilium-rj89b                                               Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
