NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                                                     MESSAGE
kube-system   59m         Normal    Pulling                   pod/cilium-envoy-8hk8m                                     Pulling image "quay.io/cilium/cilium-envoy:v1.35.9-1770554954-8ce3bb4eca04188f4a0a1bfbd0a06a40f90883de@sha256:da85124deeb42c8e56e55e9e6e155740f5df00e1064759a244bc246c3addb45d"
kube-system   59m         Normal    Scheduled                 pod/kube-proxy-mtbmp                                       Successfully assigned kube-system/kube-proxy-mtbmp to ip-10-0-10-72.ap-southeast-1.compute.internal
kube-system   59m         Normal    Scheduled                 pod/kube-proxy-2b69v                                       Successfully assigned kube-system/kube-proxy-2b69v to ip-10-0-10-244.ap-southeast-1.compute.internal
default       59m         Normal    NodeHasSufficientMemory   node/ip-10-0-10-244.ap-southeast-1.compute.internal        Node ip-10-0-10-244.ap-southeast-1.compute.internal status is now: NodeHasSufficientMemory
default       59m         Warning   InvalidDiskCapacity       node/ip-10-0-10-244.ap-southeast-1.compute.internal        invalid capacity 0 on image filesystem
default       59m         Normal    Starting                  node/ip-10-0-10-244.ap-southeast-1.compute.internal        Starting kubelet.
kube-system   59m         Normal    SuccessfulCreate          daemonset/cilium-envoy                                     Created pod: cilium-envoy-2llwx
kube-system   59m         Normal    Scheduled                 pod/cilium-envoy-2llwx                                     Successfully assigned kube-system/cilium-envoy-2llwx to ip-10-0-10-244.ap-southeast-1.compute.internal
default       59m         Normal    NodeHasNoDiskPressure     node/ip-10-0-10-244.ap-southeast-1.compute.internal        Node ip-10-0-10-244.ap-southeast-1.compute.internal status is now: NodeHasNoDiskPressure
default       59m         Normal    Synced                    node/ip-10-0-10-72.ap-southeast-1.compute.internal         Node synced successfully
kube-system   59m         Normal    Scheduled                 pod/cilium-operator-8c598ddf5-94j9j                        Successfully assigned kube-system/cilium-operator-8c598ddf5-94j9j to ip-10-0-10-72.ap-southeast-1.compute.internal
kube-system   59m         Normal    Pulling                   pod/cilium-operator-8c598ddf5-n2jpd                        Pulling image "quay.io/cilium/operator-generic:v1.18.7@sha256:244306c5e7c6b73dc7193424f46ed8a0530767b03f03baac80dd717a3a3f0ad7"
monitoring    59m         Normal    Scheduled                 pod/prometheus-prometheus-node-exporter-vswnt              Successfully assigned monitoring/prometheus-prometheus-node-exporter-vswnt to ip-10-0-10-72.ap-southeast-1.compute.internal
kube-system   59m         Normal    Pulling                   pod/cilium-6dt5x                                           Pulling image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c"
monitoring    59m         Normal    SuccessfulCreate          daemonset/prometheus-prometheus-node-exporter              Created pod: prometheus-prometheus-node-exporter-vwctc
kube-system   59m         Normal    SuccessfulCreate          daemonset/kube-proxy                                       Created pod: kube-proxy-mtbmp
kube-system   59m         Normal    SuccessfulCreate          daemonset/kube-proxy                                       Created pod: kube-proxy-2b69v
kube-system   59m         Normal    Scheduled                 pod/cilium-p7tcv                                           Successfully assigned kube-system/cilium-p7tcv to ip-10-0-10-244.ap-southeast-1.compute.internal
monitoring    59m         Normal    SuccessfulCreate          daemonset/prometheus-prometheus-node-exporter              Created pod: prometheus-prometheus-node-exporter-vswnt
kube-system   59m         Normal    SuccessfulCreate          daemonset/cilium                                           Created pod: cilium-p7tcv
monitoring    59m         Normal    Scheduled                 pod/prometheus-prometheus-node-exporter-vwctc              Successfully assigned monitoring/prometheus-prometheus-node-exporter-vwctc to ip-10-0-10-244.ap-southeast-1.compute.internal
monitoring    59m         Normal    Pulling                   pod/prometheus-prometheus-node-exporter-7w79c              Pulling image "quay.io/prometheus/node-exporter:v1.8.0"
kube-system   59m         Normal    Pulling                   pod/kube-proxy-4hn9s                                       Pulling image "602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/kube-proxy:v1.34.6-eksbuild.2"
default       59m         Normal    RegisteredNode            node/ip-10-0-10-72.ap-southeast-1.compute.internal         Node ip-10-0-10-72.ap-southeast-1.compute.internal event: Registered Node ip-10-0-10-72.ap-southeast-1.compute.internal in Controller
monitoring    59m         Normal    Pulling                   pod/prometheus-prometheus-node-exporter-vswnt              Pulling image "quay.io/prometheus/node-exporter:v1.8.0"
kube-system   59m         Normal    Pulling                   pod/cilium-envoy-j4ll6                                     Pulling image "quay.io/cilium/cilium-envoy:v1.35.9-1770554954-8ce3bb4eca04188f4a0a1bfbd0a06a40f90883de@sha256:da85124deeb42c8e56e55e9e6e155740f5df00e1064759a244bc246c3addb45d"
kube-system   59m         Normal    Pulling                   pod/cilium-tl4xr                                           Pulling image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c"
kube-system   59m         Normal    Pulling                   pod/cilium-envoy-2llwx                                     Pulling image "quay.io/cilium/cilium-envoy:v1.35.9-1770554954-8ce3bb4eca04188f4a0a1bfbd0a06a40f90883de@sha256:da85124deeb42c8e56e55e9e6e155740f5df00e1064759a244bc246c3addb45d"
default       59m         Normal    RegisteredNode            node/ip-10-0-10-206.ap-southeast-1.compute.internal        Node ip-10-0-10-206.ap-southeast-1.compute.internal event: Registered Node ip-10-0-10-206.ap-southeast-1.compute.internal in Controller
kube-system   59m         Normal    Pulling                   pod/cilium-p7tcv                                           Pulling image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c"
default       59m         Normal    RegisteredNode            node/ip-10-0-10-244.ap-southeast-1.compute.internal        Node ip-10-0-10-244.ap-southeast-1.compute.internal event: Registered Node ip-10-0-10-244.ap-southeast-1.compute.internal in Controller
kube-system   59m         Normal    Pulling                   pod/kube-proxy-mtbmp                                       Pulling image "602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/kube-proxy:v1.34.6-eksbuild.2"
monitoring    59m         Normal    Pulling                   pod/prometheus-prometheus-node-exporter-vwctc              Pulling image "quay.io/prometheus/node-exporter:v1.8.0"
kube-system   59m         Normal    Pulling                   pod/cilium-operator-8c598ddf5-94j9j                        Pulling image "quay.io/cilium/operator-generic:v1.18.7@sha256:244306c5e7c6b73dc7193424f46ed8a0530767b03f03baac80dd717a3a3f0ad7"
default       59m         Normal    Starting                  node/ip-10-0-10-206.ap-southeast-1.compute.internal        
kube-system   59m         Normal    Pulled                    pod/kube-proxy-4hn9s                                       Successfully pulled image "602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/kube-proxy:v1.34.6-eksbuild.2" in 1.848s (1.848s including waiting). Image size: 31773277 bytes.
kube-system   59m         Normal    Pulling                   pod/kube-proxy-2b69v                                       Pulling image "602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/kube-proxy:v1.34.6-eksbuild.2"
kube-system   59m         Normal    Started                   pod/kube-proxy-4hn9s                                       Started container kube-proxy
kube-system   59m         Normal    Created                   pod/kube-proxy-4hn9s                                       Created container: kube-proxy
kube-system   59m         Normal    Started                   pod/kube-proxy-mtbmp                                       Started container kube-proxy
kube-system   59m         Normal    Started                   pod/kube-proxy-2b69v                                       Started container kube-proxy
default       59m         Normal    Starting                  node/ip-10-0-10-72.ap-southeast-1.compute.internal         
kube-system   59m         Normal    Pulled                    pod/kube-proxy-mtbmp                                       Successfully pulled image "602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/kube-proxy:v1.34.6-eksbuild.2" in 1.819s (1.819s including waiting). Image size: 31773277 bytes.
kube-system   59m         Normal    Pulled                    pod/kube-proxy-2b69v                                       Successfully pulled image "602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/kube-proxy:v1.34.6-eksbuild.2" in 1.95s (1.95s including waiting). Image size: 31773277 bytes.
kube-system   59m         Normal    Created                   pod/kube-proxy-mtbmp                                       Created container: kube-proxy
kube-system   59m         Normal    Created                   pod/kube-proxy-2b69v                                       Created container: kube-proxy
monitoring    59m         Normal    Started                   pod/prometheus-prometheus-node-exporter-vswnt              Started container node-exporter
default       59m         Normal    Starting                  node/ip-10-0-10-244.ap-southeast-1.compute.internal        
monitoring    59m         Normal    Created                   pod/prometheus-prometheus-node-exporter-vswnt              Created container: node-exporter
monitoring    59m         Normal    Pulled                    pod/prometheus-prometheus-node-exporter-vswnt              Successfully pulled image "quay.io/prometheus/node-exporter:v1.8.0" in 3.62s (3.62s including waiting). Image size: 12039592 bytes.
kube-system   59m         Normal    Pulled                    pod/cilium-envoy-j4ll6                                     Successfully pulled image "quay.io/cilium/cilium-envoy:v1.35.9-1770554954-8ce3bb4eca04188f4a0a1bfbd0a06a40f90883de@sha256:da85124deeb42c8e56e55e9e6e155740f5df00e1064759a244bc246c3addb45d" in 12.423s (12.423s including waiting). Image size: 77064915 bytes.
kube-system   59m         Normal    Pulled                    pod/cilium-operator-8c598ddf5-94j9j                        Successfully pulled image "quay.io/cilium/operator-generic:v1.18.7@sha256:244306c5e7c6b73dc7193424f46ed8a0530767b03f03baac80dd717a3a3f0ad7" in 11.897s (11.897s including waiting). Image size: 32956456 bytes.
kube-system   59m         Normal    Started                   pod/cilium-operator-8c598ddf5-94j9j                        Started container cilium-operator
kube-system   59m         Normal    Created                   pod/cilium-operator-8c598ddf5-94j9j                        Created container: cilium-operator
kube-system   59m         Normal    Created                   pod/cilium-envoy-j4ll6                                     Created container: cilium-envoy
kube-system   59m         Normal    Started                   pod/cilium-envoy-j4ll6                                     Started container cilium-envoy
kube-system   59m         Warning   Unhealthy                 pod/cilium-envoy-j4ll6                                     Startup probe failed: Get "http://127.0.0.1:9878/healthz": dial tcp 127.0.0.1:9878: connect: connection refused
kube-system   59m         Normal    Started                   pod/cilium-tl4xr                                           Started container config
kube-system   59m         Normal    Created                   pod/cilium-tl4xr                                           Created container: config
kube-system   59m         Normal    Pulled                    pod/cilium-tl4xr                                           Successfully pulled image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" in 17.159s (17.159s including waiting). Image size: 250480611 bytes.
kube-system   59m         Normal    Pulled                    pod/cilium-tl4xr                                           Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
kube-system   59m         Normal    Created                   pod/cilium-tl4xr                                           Created container: mount-cgroup
kube-system   59m         Normal    Started                   pod/cilium-tl4xr                                           Started container mount-cgroup
kube-system   59m         Normal    Created                   pod/cilium-tl4xr                                           Created container: apply-sysctl-overwrites
kube-system   59m         Normal    Started                   pod/cilium-tl4xr                                           Started container apply-sysctl-overwrites
kube-system   59m         Normal    Pulled                    pod/cilium-tl4xr                                           Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
kube-system   59m         Normal    Pulled                    pod/cilium-tl4xr                                           Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
kube-system   59m         Normal    Created                   pod/cilium-tl4xr                                           Created container: mount-bpf-fs
kube-system   59m         Normal    Created                   pod/cilium-tl4xr                                           Created container: clean-cilium-state
kube-system   59m         Normal    Started                   pod/cilium-tl4xr                                           Started container clean-cilium-state
kube-system   59m         Normal    Started                   pod/cilium-envoy-8hk8m                                     Started container cilium-envoy
kube-system   59m         Normal    Created                   pod/cilium-envoy-8hk8m                                     Created container: cilium-envoy
kube-system   59m         Normal    Pulled                    pod/cilium-envoy-8hk8m                                     Successfully pulled image "quay.io/cilium/cilium-envoy:v1.35.9-1770554954-8ce3bb4eca04188f4a0a1bfbd0a06a40f90883de@sha256:da85124deeb42c8e56e55e9e6e155740f5df00e1064759a244bc246c3addb45d" in 26.063s (26.063s including waiting). Image size: 77064915 bytes.
kube-system   59m         Normal    Started                   pod/cilium-tl4xr                                           Started container mount-bpf-fs
kube-system   59m         Normal    Pulled                    pod/cilium-tl4xr                                           Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
kube-system   59m         Normal    Started                   pod/cilium-tl4xr                                           Started container install-cni-binaries
kube-system   59m         Normal    Started                   pod/cilium-envoy-2llwx                                     Started container cilium-envoy
kube-system   59m         Normal    Created                   pod/cilium-envoy-2llwx                                     Created container: cilium-envoy
kube-system   59m         Normal    Pulled                    pod/cilium-envoy-2llwx                                     Successfully pulled image "quay.io/cilium/cilium-envoy:v1.35.9-1770554954-8ce3bb4eca04188f4a0a1bfbd0a06a40f90883de@sha256:da85124deeb42c8e56e55e9e6e155740f5df00e1064759a244bc246c3addb45d" in 26.175s (26.175s including waiting). Image size: 77064915 bytes.
monitoring    59m         Normal    Created                   pod/prometheus-prometheus-node-exporter-vwctc              Created container: node-exporter
monitoring    59m         Normal    Started                   pod/prometheus-prometheus-node-exporter-vwctc              Started container node-exporter
kube-system   59m         Normal    Pulled                    pod/cilium-tl4xr                                           Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
kube-system   59m         Normal    Created                   pod/cilium-tl4xr                                           Created container: install-cni-binaries
monitoring    59m         Normal    Pulled                    pod/prometheus-prometheus-node-exporter-vwctc              Successfully pulled image "quay.io/prometheus/node-exporter:v1.8.0" in 25.942s (25.942s including waiting). Image size: 12039592 bytes.
monitoring    59m         Normal    Created                   pod/prometheus-prometheus-node-exporter-7w79c              Created container: node-exporter
kube-system   59m         Normal    Pulled                    pod/cilium-tl4xr                                           Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
kube-system   59m         Normal    Created                   pod/cilium-tl4xr                                           Created container: cilium-agent
kube-system   59m         Normal    Started                   pod/cilium-tl4xr                                           Started container cilium-agent
monitoring    59m         Normal    Pulled                    pod/prometheus-prometheus-node-exporter-7w79c              Successfully pulled image "quay.io/prometheus/node-exporter:v1.8.0" in 27.871s (27.871s including waiting). Image size: 12039592 bytes.
monitoring    59m         Normal    Started                   pod/prometheus-prometheus-node-exporter-7w79c              Started container node-exporter
default       59m         Normal    NodeReady                 node/ip-10-0-10-72.ap-southeast-1.compute.internal         Node ip-10-0-10-72.ap-southeast-1.compute.internal status is now: NodeReady
