NAMESPACE     LAST SEEN   TYPE      REASON              OBJECT                                                   MESSAGE
kube-system   50m         Normal    Started             pod/cilium-dfdcg                                         Started container config
kube-system   50m         Normal    Pulled              pod/cilium-dfdcg                                         Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
kube-system   50m         Normal    Created             pod/cilium-dfdcg                                         Created container: mount-cgroup
kube-system   50m         Normal    Started             pod/cilium-dfdcg                                         Started container mount-cgroup
kube-system   50m         Normal    Started             pod/cilium-dfdcg                                         Started container apply-sysctl-overwrites
kube-system   50m         Normal    Pulled              pod/cilium-dfdcg                                         Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
kube-system   50m         Normal    Created             pod/cilium-dfdcg                                         Created container: apply-sysctl-overwrites
kube-system   50m         Normal    Started             pod/cilium-dfdcg                                         Started container mount-bpf-fs
kube-system   50m         Normal    Created             pod/cilium-dfdcg                                         Created container: mount-bpf-fs
kube-system   50m         Normal    Pulled              pod/cilium-dfdcg                                         Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
kube-system   35s         Warning   Unhealthy           pod/hubble-ui-576dcd986f-9bpbs                           Readiness probe failed: Get "http://10.96.1.230:8081/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system   50m         Normal    Pulled              pod/cilium-dfdcg                                         Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
kube-system   50m         Normal    Created             pod/cilium-dfdcg                                         Created container: clean-cilium-state
kube-system   50m         Normal    Started             pod/cilium-dfdcg                                         Started container clean-cilium-state
kube-system   50m         Normal    Pulled              pod/cilium-dfdcg                                         Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
kube-system   50m         Normal    Created             pod/cilium-dfdcg                                         Created container: install-cni-binaries
kube-system   50m         Normal    Started             pod/cilium-dfdcg                                         Started container install-cni-binaries
kube-system   50m         Normal    Created             pod/cilium-dfdcg                                         Created container: cilium-agent
kube-system   50m         Normal    Started             pod/cilium-dfdcg                                         Started container cilium-agent
kube-system   50m         Normal    Pulled              pod/cilium-dfdcg                                         Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
monitoring    50m         Warning   Unhealthy           pod/prometheus-prometheus-kube-prometheus-prometheus-0   Readiness probe failed: Get "http://10.96.0.201:9090/-/ready": dial tcp 10.96.0.201:9090: connect: no route to host
kube-system   50m         Warning   Unhealthy           pod/coredns-6d6cb66b-799hv                               Readiness probe failed: Get "http://10.96.0.118:8181/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    10m         Warning   Unhealthy           pod/prometheus-grafana-5875d7786f-fppqk                  Readiness probe failed: Get "http://10.96.0.171:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    50m         Warning   Unhealthy           pod/prometheus-prometheus-kube-prometheus-prometheus-0   Liveness probe failed: Get "http://10.96.0.201:9090/-/healthy": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system   30m         Normal    Killing             pod/hubble-ui-576dcd986f-9bpbs                           Container frontend failed liveness probe, will be restarted
kube-system   45m         Normal    Created             pod/hubble-ui-576dcd986f-9bpbs                           Created container: frontend
monitoring    49m         Warning   Unhealthy           pod/prometheus-prometheus-kube-prometheus-prometheus-0   Readiness probe failed: Get "http://10.96.0.201:9090/-/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system   45m         Normal    Started             pod/hubble-ui-576dcd986f-9bpbs                           Started container frontend
kube-system   24s         Normal    Pulled              pod/hubble-ui-576dcd986f-9bpbs                           Container image "quay.io/cilium/hubble-ui:v0.13.3@sha256:661d5de7050182d495c6497ff0b007a7a1e379648e60830dd68c4d78ae21761d" already present on machine
monitoring    49m         Warning   Unhealthy           pod/prometheus-kube-state-metrics-7cdf9894f9-xqqxh       Readiness probe failed: Get "http://10.96.0.95:8080/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system   50m         Normal    Killing             pod/coredns-6d6cb66b-799hv                               Stopping container coredns
kube-system   50m         Normal    Scheduled           pod/coredns-6d6cb66b-nswb5                               Successfully assigned kube-system/coredns-6d6cb66b-nswb5 to ip-10-0-10-178.ap-southeast-1.compute.internal
kube-system   50m         Normal    SuccessfulCreate    replicaset/coredns-6d6cb66b                              Created pod: coredns-6d6cb66b-nswb5
kube-system   50m         Warning   Unhealthy           pod/coredns-6d6cb66b-799hv                               Liveness probe failed: Get "http://10.96.0.118:8080/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    49m         Warning   Unhealthy           pod/prometheus-kube-state-metrics-7cdf9894f9-xqqxh       Liveness probe failed: Get "http://10.96.0.95:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system   50m         Normal    Pulling             pod/coredns-6d6cb66b-nswb5                               Pulling image "602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.4"
kube-system   50m         Normal    Created             pod/coredns-6d6cb66b-nswb5                               Created container: coredns
kube-system   50m         Normal    Pulled              pod/coredns-6d6cb66b-nswb5                               Successfully pulled image "602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.4" in 1.366s (1.366s including waiting). Image size: 25994393 bytes.
kube-system   50m         Normal    Started             pod/coredns-6d6cb66b-nswb5                               Started container coredns
monitoring    5m10s       Normal    Pulled              pod/prometheus-prometheus-kube-prometheus-prometheus-0   Container image "quay.io/prometheus/prometheus:v2.52.0" already present on machine
monitoring    5m10s       Normal    Started             pod/prometheus-prometheus-kube-prometheus-prometheus-0   Started container prometheus
monitoring    50m         Normal    Killing             pod/prometheus-prometheus-kube-prometheus-prometheus-0   Container prometheus failed liveness probe, will be restarted
monitoring    5m10s       Normal    Created             pod/prometheus-prometheus-kube-prometheus-prometheus-0   Created container: prometheus
monitoring    49m         Normal    Killing             pod/prometheus-kube-state-metrics-7cdf9894f9-xqqxh       Container kube-state-metrics failed liveness probe, will be restarted
monitoring    33m         Normal    Created             pod/prometheus-kube-state-metrics-7cdf9894f9-xqqxh       Created container: kube-state-metrics
monitoring    33m         Normal    Started             pod/prometheus-kube-state-metrics-7cdf9894f9-xqqxh       Started container kube-state-metrics
monitoring    2m47s       Normal    Pulled              pod/prometheus-kube-state-metrics-7cdf9894f9-xqqxh       Container image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0" already present on machine
monitoring    25s         Warning   Unhealthy           pod/prometheus-prometheus-kube-prometheus-prometheus-0   Startup probe failed: Get "http://10.96.0.201:9090/-/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
