qps,conns,run,p50_ms,p75_ms,p90_ms,p99_ms,p999_ms,max_ms,rps,error_rate_pct,total_requests,errors
50,4,1,,,,,,0.080013608,,0.0,1496.0,
50,4,2,,,,,,0.080001287,,0.0,1496.0,
100,8,1,,,,,,0.080000093,,0.0,2992.0,
100,8,2,,,,,,0.079917481,,0.0,2992.0,
200,16,1,,,,,,0.079932619,,0.0,5984.0,
200,16,2,,,,,,0.079855577,,0.0,5984.0,
400,32,1,,,,,,0.079787711,,0.0,11968.0,
400,32,2,,,,,,0.079986299,,0.0,11968.0,
800,64,1,,,,,,0.079719794,,0.0,23936.0,
800,64,2,,,,,,0.079880896,,0.0,23936.0,
